Query_SMILES	Query_ID	Analogues_SMILES	Analogues_ID	MGT_layer	ChemicalSpace	maccs	pharm2d
C=Cc1ccccn1	mol_ID_21	Brc1ccccn1	mol_ID_2	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.60	1.00
C=Cc1ccccn1	mol_ID_21	Clc1ccccn1	mol_ID_4	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.60	1.00
C=Cc1ccccn1	mol_ID_21	C=Cc1ccccn1	mol_ID_21	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
C=Cc1ccccn1	mol_ID_21	C#Cc1ccccn1	mol_ID_45	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.75	1.00
C=Cc1ccccn1	mol_ID_21	Ic1ccccn1	mol_ID_52	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.60	1.00
O=C1CCN(c2ccccn2)CC1	mol_ID_210	O=C1CCN(c2ccccn2)CC1	mol_ID_210	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
COc1ccccc1CC1CCNCC1	mol_ID_213	COc1ccccc1CC1CCNCC1	mol_ID_213	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
O=C1NC2(CCCC2)Nc2ccccc21	mol_ID_214	O=C1NC2(CCCC2)Nc2ccccc21	mol_ID_214	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
C[C@H]1CCc2sc(C(=O)O)cc2C1	mol_ID_215	C[C@H]1CCc2sc(C(=O)O)cc2C1	mol_ID_215	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
C[C@H](CN)N1CCc2sccc2C1	mol_ID_217	C[C@H](CN)N1CCc2sccc2C1	mol_ID_217	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
O=C(c1ccccc1)N1CCC(CO)CC1	mol_ID_219	O=C(c1ccccc1)N1CCC(CO)CC1	mol_ID_219	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Brc1cncnc1	mol_ID_22	Clc1cncnc1	mol_ID_6	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
Brc1cncnc1	mol_ID_22	C#Cc1cncnc1	mol_ID_15	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.71	1.00
Brc1cncnc1	mol_ID_22	Brc1cncnc1	mol_ID_22	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
Brc1cncnc1	mol_ID_22	Ic1cncnc1	mol_ID_38	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.88	1.00
Brc1cncnc1	mol_ID_22	C=Cc1cncnc1	mol_ID_78	3rdMGT_fraghop	SpotX_std_scaffold.txt	0.67	1.00
COc1ccccc1N1CCNCC1	mol_ID_220	COc1ccccc1N1CCNCC1	mol_ID_220	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
CN1CC(=O)NC1=O	mol_ID_221	CN1CC(=O)NC1=O	mol_ID_221	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
O=c1[nH]c2c(s1)CCC2	mol_ID_222	O=c1[nH]c2c(s1)CCC2	mol_ID_222	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
O=C(CN1CCCC1)c1ccccc1Cl	mol_ID_223	O=C(CN1CCCC1)c1ccccc1Cl	mol_ID_223	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
O=C1CSC(Nc2ccc(F)cc2)=N1	mol_ID_224	O=C1CSC(Nc2ccc(F)cc2)=N1	mol_ID_224	3rdMGT_fraghop	SpotX_std_scaffold.txt	1.00	1.00
