Query_SMILES	Query_ID	Analogues_SMILES	Analogues_ID	MGT_layer	ChemicalSpace	maccs	pharm2d
C[n+]1ccccc1Cl	mol_ID_54	Brc1ccccn1	mol_ID_2	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.50	1.00
C[n+]1ccccc1Cl	mol_ID_54	Clc1ccccn1	mol_ID_4	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.57	1.00
C[n+]1ccccc1Cl	mol_ID_54	Ic1ccccn1	mol_ID_52	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.50	1.00
C[n+]1ccccc1Cl	mol_ID_54	C[n+]1ccccc1Cl	mol_ID_54	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C[n+]1ccccc1Cl	mol_ID_54	C[n+]1ccccc1Br	mol_ID_100	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.92	1.00
C[n+]1ccccc1Cl	mol_ID_54	C=Cc1cccc[n+]1C	mol_ID_108	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.76	1.00
C[n+]1ccccc1Cl	mol_ID_54	C#Cc1cccc[n+]1C	mol_ID_114	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.79	1.00
C[n+]1ccccc1Cl	mol_ID_54	C[n+]1ccccc1I	mol_ID_142	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.92	1.00
C#CCn1cccn1	mol_ID_55	C#CCn1cccn1	mol_ID_55	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C#CCn1cccn1	mol_ID_55	C=Cn1cccn1	mol_ID_57	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.70	1.00
C#CCn1cccn1	mol_ID_55	C#CCn1ccc[n+]1C	mol_ID_144	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.80	1.00
C=Cn1ccnc1	mol_ID_56	C=Cn1ccnc1	mol_ID_56	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C=Cn1ccnc1	mol_ID_56	C=Cc1cnc[nH]1	mol_ID_64	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.64	0.67
C=Cn1ccnc1	mol_ID_56	C#CCn1ccnc1	mol_ID_72	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	1.00
C=Cn1ccnc1	mol_ID_56	C#Cc1nccn1C	mol_ID_91	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.63	1.00
C=Cn1cccn1	mol_ID_57	C#CCn1cccn1	mol_ID_55	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.70	1.00
C=Cn1cccn1	mol_ID_57	C=Cn1cccn1	mol_ID_57	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
